Date,Fajr,Sunrise,Thuhr,Asr,Maghrib,Isha,Hijri,Month,Year,FajrM,SunriseM,ThuhrM,AsrM,MaghribM,IshaM
4-Jun-13,3:05,5:09,1:34,5:57,9:58,11:13,25,Rajab,1434,3:05,5:09,1:34,5:57,9:58,11:13
5-Jun-13,3:04,5:08,1:35,5:57,9:59,11:14,26,Rajab,1434,3:04,5:08,1:35,5:57,9:59,11:14
6-Jun-13,3:03,5:07,1:35,5:58,10:00,11:15,27,Rajab,1434,3:03,5:07,1:35,5:58,10:00,11:15
7-Jun-13,3:02,5:07,1:35,5:58,10:01,11:16,28,Rajab,1434,3:02,5:07,1:35,5:58,10:01,11:16
8-Jun-13,3:02,5:06,1:35,5:59,10:02,11:17,29,Rajab,1434,3:02,5:06,1:35,5:59,10:02,11:17
9-Jun-13,3:01,5:06,1:35,5:59,10:03,11:18,30,Rajab,1434,3:01,5:06,1:35,5:59,10:03,11:18
10-Jun-13,3:00,5:05,1:36,5:59,10:04,11:19,1,Sha'ban,1434,3:00,5:05,1:36,5:59,10:04,11:19
11-Jun-13,2:59,5:05,1:36,6:00,10:05,11:20,2,Sha'ban,1434,2:59,5:05,1:36,6:00,10:05,11:20
12-Jun-13,2:58,5:05,1:36,6:00,10:05,11:20,3,Sha'ban,1434,2:58,5:05,1:36,6:00,10:05,11:20
13-Jun-13,2:58,5:04,1:36,6:00,10:06,11:21,4,Sha'ban,1434,2:58,5:04,1:36,6:00,10:06,11:21
14-Jun-13,2:57,5:04,1:36,6:01,10:07,11:22,5,Sha'ban,1434,2:57,5:04,1:36,6:01,10:07,11:22
15-Jun-13,2:57,5:04,1:37,6:01,10:07,11:22,6,Sha'ban,1434,2:57,5:04,1:37,6:01,10:07,11:22
16-Jun-13,2:57,5:04,1:37,6:01,10:08,11:23,7,Sha'ban,1434,2:57,5:04,1:37,6:01,10:08,11:23
17-Jun-13,2:57,5:04,1:37,6:02,10:08,11:23,8,Sha'ban,1434,2:57,5:04,1:37,6:02,10:08,11:23
18-Jun-13,2:57,5:04,1:37,6:02,10:08,11:23,9,Sha'ban,1434,2:57,5:04,1:37,6:02,10:08,11:23
19-Jun-13,2:57,5:04,1:37,6:02,10:09,11:24,10,Sha'ban,1434,2:57,5:04,1:37,6:02,10:09,11:24
20-Jun-13,2:57,5:04,1:37,6:02,10:09,11:24,11,Sha'ban,1434,2:57,5:04,1:37,6:02,10:09,11:24
21-Jun-13,2:57,5:04,1:38,6:03,10:09,11:24,12,Sha'ban,1434,2:57,5:04,1:38,6:03,10:09,11:24
22-Jun-13,2:58,5:05,1:38,6:03,10:09,11:24,13,Sha'ban,1434,2:58,5:05,1:38,6:03,10:09,11:24
23-Jun-13,2:58,5:05,1:38,6:03,10:10,11:25,14,Sha'ban,1434,2:58,5:05,1:38,6:03,10:10,11:25
24-Jun-13,2:59,5:05,1:39,6:03,10:10,11:25,15,Sha'ban,1434,2:59,5:05,1:39,6:03,10:10,11:25
25-Jun-13,3:00,5:06,1:39,6:03,10:10,11:25,16,Sha'ban,1434,3:00,5:06,1:39,6:03,10:10,11:25
26-Jun-13,3:00,5:06,1:39,6:03,10:10,11:25,17,Sha'ban,1434,3:00,5:06,1:39,6:03,10:10,11:25
27-Jun-13,3:00,5:07,1:39,6:04,10:09,11:24,18,Sha'ban,1434,3:00,5:07,1:39,6:04,10:09,11:24
28-Jun-13,3:01,5:07,1:39,6:04,10:09,11:24,19,Sha'ban,1434,3:01,5:07,1:39,6:04,10:09,11:24
29-Jun-13,3:02,5:08,1:40,6:04,10:09,11:24,20,Sha'ban,1434,3:02,5:08,1:40,6:04,10:09,11:24
30-Jun-13,3:03,5:09,1:40,6:04,10:09,11:24,21,Sha'ban,1434,3:03,5:09,1:40,6:04,10:09,11:24
1-Jul-13,3:04,5:09,13:40,18:04,22:08,23:23,22,Sha'ban,1434,3:04,5:09,13:40,18:04,22:08,23:23
2-Jul-13,3:05,5:10,13:40,18:04,22:08,23:23,23,Sha'ban,1434,3:05,5:10,13:40,18:04,22:08,23:23
3-Jul-13,3:06,5:11,13:40,18:04,22:08,23:23,24,Sha'ban,1434,3:06,5:11,13:40,18:04,22:08,23:23
4-Jul-13,3:07,5:12,13:40,18:04,22:07,23:22,25,Sha'ban,1434,3:07,5:12,13:40,18:04,22:07,23:22
5-Jul-13,3:08,5:13,13:41,18:04,22:06,23:21,26,Sha'ban,1434,3:08,5:13,13:41,18:04,22:06,23:21
6-Jul-13,3:10,5:14,13:41,18:03,22:06,23:21,27,Sha'ban,1434,3:10,5:14,13:41,18:03,22:06,23:21
7-Jul-13,3:11,5:15,13:41,18:03,22:05,23:20,28,Sha'ban,1434,3:11,5:15,13:41,18:03,22:05,23:20
8-Jul-13,3:12,5:16,13:41,18:03,22:04,23:19,29,Sha'ban,1434,3:12,5:16,13:41,18:03,22:04,23:19
9-Jul-13,3:14,5:17,13:41,18:03,22:04,23:19,1,Ramadan,1434,3:14,5:17,13:41,18:03,22:04,23:19
10-Jul-13,3:16,5:18,13:41,18:03,22:03,23:18,2,Ramadan,1434,3:16,5:18,13:41,18:03,22:03,23:18
11-Jul-13,3:18,5:19,13:42,18:03,22:02,23:17,3,Ramadan,1434,3:18,5:19,13:42,18:03,22:02,23:17
12-Jul-13,3:19,5:20,13:42,18:03,22:01,23:16,4,Ramadan,1434,3:19,5:20,13:42,18:03,22:01,23:16
13-Jul-13,3:21,5:21,13:42,18:02,22:00,23:15,5,Ramadan,1434,3:21,5:21,13:42,18:02,22:00,23:15
14-Jul-13,3:22,5:23,13:42,18:02,21:59,23:14,6,Ramadan,1434,3:22,5:23,13:42,18:02,21:59,23:14
